Neighborhoods,ATM,Afghan Restaurant,Airport,Airport Terminal,American Restaurant,Andhra Restaurant,Arcade,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Auto Garage,Auto Workshop,Automotive Shop,BBQ Joint,Badminton Court,Bagel Shop,Bakery,Bank,Bar,Basketball Court,Bed & Breakfast,Beer Bar,Beer Garden,Bengali Restaurant,Big Box Store,Bike Shop,Bistro,Boarding House,Bookstore,Botanical Garden,Boutique,Bowling Alley,Boxing Gym,Breakfast Spot,Brewery,Bridge,Bubble Tea Shop,Buffet,Building,Burger Joint,Burrito Place,Bus Line,Bus Station,Bus Stop,Business Service,Butcher,Cafeteria,Café,Candy Store,Capitol Building,Caribbean Restaurant,Castle,Chaat Place,Chettinad Restaurant,Chinese Restaurant,Chocolate Shop,Clothing Store,Cocktail Bar,Coffee Shop,Comfort Food Restaurant,Concert Hall,Construction & Landscaping,Convenience Store,Cosmetics Shop,Coworking Space,Creperie,Cricket Ground,Cupcake Shop,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Dive Bar,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Financial or Legal Service,Flea Market,Food,Food & Drink Shop,Food Court,Food Service,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Furniture / Home Store,Gaming Cafe,Garden,Garden Center,Gas Station,Gastropub,General Entertainment,German Restaurant,Golf Course,Gourmet Shop,Grocery Store,Gym,Gym / Fitness Center,Gym Pool,Halal Restaurant,Health Food Store,Hill,Historic Site,History Museum,Hockey Arena,Hookah Bar,Hospital,Hotel,Hotel Bar,Hotel Pool,Hyderabadi Restaurant,Ice Cream Shop,Indian Chinese Restaurant,Indian Restaurant,Indian Sweet Shop,Indie Movie Theater,Intersection,Italian Restaurant,Japanese Restaurant,Jewelry Store,Juice Bar,Kebab Restaurant,Kerala Restaurant,Kids Store,Korean Restaurant,Lake,Light Rail Station,Lighthouse,Liquor Store,Lounge,Maharashtrian Restaurant,Market,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Mobile Phone Shop,Modern European Restaurant,Monument / Landmark,Motorcycle Shop,Movie Theater,Moving Target,Multicuisine Indian Restaurant,Multiplex,Music Store,Music Venue,Neighborhood,Nightclub,Noodle House,North Indian Restaurant,Office,Other Great Outdoors,Outlet Store,Paintball Field,Pakistani Restaurant,Paper / Office Supplies Store,Park,Parsi Restaurant,Performing Arts Venue,Pharmacy,Pizza Place,Planetarium,Platform,Playground,Plaza,Pool,Pool Hall,Pub,Punjabi Restaurant,Racecourse,Racetrack,Rajasthani Restaurant,Recreation Center,Resort,Restaurant,Road,Roof Deck,Salad Place,Salon / Barbershop,Sandwich Place,Scenic Lookout,Science Museum,Seafood Restaurant,Shop & Service,Shopping Mall,Shopping Plaza,Smoke Shop,Snack Place,Soccer Field,Soccer Stadium,South Indian Restaurant,Southern / Soul Food Restaurant,Spa,Sporting Goods Shop,Sports Bar,Stadium,Steakhouse,Supermarket,Sushi Restaurant,Szechuan Restaurant,Tea Room,Tech Startup,Tex-Mex Restaurant,Thai Restaurant,Theater,Tibetan Restaurant,Toll Booth,Tourist Information Center,Toy / Game Store,Track Stadium,Trail,Train Station,Travel & Transport,Turkish Restaurant,Udupi Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wine Bar,Wine Shop,Women's Store,Yoga Studio
100 Feet Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.05,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.06,0.01,0.21,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0.02,0,0.02,0,0,0.02,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
Anekal,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjanapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anugraha,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0.074074074,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0.037037037,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0.037037037,0,0,0.037037037,0,0,0,0,0.037037037,0,0,0.037037037,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arekere,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0.014084507,0.014084507,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0.014084507,0.014084507,0,0,0.014084507,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0.084507042,0,0,0,0,0,0,0.028169014,0,0.028169014,0,0.014084507,0,0,0,0,0.014084507,0,0,0,0,0,0,0.028169014,0,0,0,0.014084507,0.014084507,0,0.014084507,0.014084507,0.014084507,0,0,0,0,0.056338028,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0.126760563,0,0,0,0.014084507,0,0,0,0.014084507,0,0,0,0,0,0,0.014084507,0.014084507,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0.014084507,0,0,0.042253521,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0.014084507,0,0,0,0,0.014084507,0,0,0,0,0.028169014,0,0,0,0,0,0.042253521,0,0,0.014084507,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0
Attibele,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Town,0,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.04,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.03,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0.01,0,0,0.1,0.01,0,0,0.04,0,0.09,0,0,0,0.02,0.01,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0.02,0,0.01,0,0.03,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0
Avenue Road,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0.01,0.02,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.01,0,0,0,0,0.01,0,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0.01,0,0,0,0,0.22,0,0,0,0.02,0.03,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0,0.02,0,0.01,0,0,0,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.03,0.01,0.01,0,0,0
BTM Layout,0,0,0,0,0,0.010869565,0,0,0,0,0.010869565,0,0,0,0,0,0,0,0.032608696,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0.032608696,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0.010869565,0.032608696,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0.010869565,0,0,0,0,0,0,0.010869565,0,0.010869565,0,0,0,0,0,0,0,0,0.02173913,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0.054347826,0,0.25,0,0.010869565,0,0.02173913,0,0,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0.010869565,0,0,0,0.010869565,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0.010869565,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0.010869565,0,0,0.010869565,0,0,0,0,0.02173913,0,0,0,0,0.010869565,0,0,0.054347826,0,0,0,0,0,0,0.02173913,0,0,0.010869565,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032608696,0,0,0,0,0
Bagmane Tech Park,0,0,0,0,0,0,0.011111111,0,0,0,0.011111111,0,0,0,0,0.011111111,0,0,0.022222222,0,0.011111111,0,0,0,0,0,0,0,0,0,0.011111111,0,0.022222222,0,0,0.011111111,0.011111111,0,0,0,0,0.022222222,0,0,0.011111111,0,0,0.011111111,0,0.066666667,0,0,0,0,0,0,0.022222222,0.011111111,0.011111111,0.011111111,0.033333333,0,0,0,0.011111111,0.011111111,0,0,0,0.022222222,0,0,0.022222222,0.044444444,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0.011111111,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0.011111111,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0.177777778,0,0,0,0.011111111,0,0,0.011111111,0,0,0,0.011111111,0,0.011111111,0,0,0.011111111,0,0,0,0,0.011111111,0.011111111,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0,0,0,0.011111111,0.022222222,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0.011111111,0,0,0.011111111,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0,0
Banashankari,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.03,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.09,0.01,0.2,0,0,0,0.03,0,0.02,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.03,0,0,0.01,0,0.01,0,0,0.02,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Banaswadi,0,0.018518519,0,0,0,0.018518519,0,0,0,0.018518519,0.018518519,0,0,0,0,0.055555556,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0,0,0.037037037,0,0,0,0.018518519,0,0,0,0,0,0,0,0.018518519,0.018518519,0,0,0,0.018518519,0,0,0,0.018518519,0,0.018518519,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0.018518519,0.166666667,0,0,0,0.018518519,0,0,0.018518519,0,0,0,0.055555556,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0,0,0,0.055555556,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0.018518519,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0
Bangalore Cantonment railway station,0,0.010309278,0,0,0.010309278,0,0,0.020618557,0.010309278,0,0.010309278,0,0,0,0,0.020618557,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0.010309278,0,0,0,0,0,0,0,0.010309278,0,0,0,0,0,0,0,0.051546392,0.010309278,0,0,0,0,0,0.030927835,0,0.030927835,0,0.030927835,0,0.010309278,0,0,0.010309278,0,0,0.010309278,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0.010309278,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0.010309278,0.010309278,0,0,0,0,0,0,0,0,0.010309278,0,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0.041237113,0.010309278,0,0.010309278,0.041237113,0,0.144329897,0,0,0,0,0.010309278,0,0.030927835,0,0,0,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0.010309278,0,0,0,0.010309278,0,0,0,0,0,0,0.010309278,0,0.020618557,0,0,0,0,0,0,0,0,0.020618557,0,0,0,0.020618557,0,0,0,0,0,0.010309278,0.030927835,0,0,0.010309278,0,0,0,0.010309278,0,0,0,0,0.010309278,0,0,0,0,0.010309278,0,0,0.020618557,0,0,0,0,0,0,0,0,0.010309278,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0,0.010309278,0.030927835,0
Bangalore Development Authority,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.02,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0.11,0.01,0,0,0,0,0.01,0.02,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0.06,0,0.16,0.01,0.01,0,0.05,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01
Bangalore Palace,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.01,0,0.04,0,0,0,0.06,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0.06,0.01,0,0,0.02,0,0.2,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.02,0.01,0,0,0.01,0,0.01,0.02,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0
Bangalore University,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0.021276596,0,0,0.031914894,0,0.010638298,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0,0.106382979,0.010638298,0,0,0,0,0,0.031914894,0,0.042553191,0,0.021276596,0,0,0,0,0.010638298,0,0,0.010638298,0,0,0,0.031914894,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0.053191489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0,0,0.010638298,0.031914894,0,0.180851064,0,0,0,0,0,0,0.021276596,0,0,0,0,0.010638298,0,0,0,0.010638298,0,0,0.010638298,0,0,0,0.031914894,0,0,0,0,0,0,0,0,0.010638298,0.010638298,0,0,0,0,0,0,0,0,0,0.010638298,0,0.021276596,0,0,0,0.010638298,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0.010638298,0,0.031914894,0,0,0.021276596,0,0,0,0,0.010638298,0,0,0,0,0,0,0,0.031914894,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0,0,0.031914894,0
Basavanagudi,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0.08,0.01,0.22,0,0,0,0.02,0,0.01,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0.02,0.05,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Basavanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basaveshwaranagar,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096774194,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0.080645161,0,0.209677419,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0.016129032,0,0.016129032,0,0,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0
Begur,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0.066666667,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellandur,0,0.011235955,0,0,0,0.011235955,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0.02247191,0,0.011235955,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0.011235955,0,0.011235955,0,0,0.078651685,0,0,0,0,0,0,0,0,0,0,0.04494382,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0.011235955,0,0,0,0.011235955,0,0,0.011235955,0,0,0,0,0,0.056179775,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0.02247191,0,0,0,0,0,0,0,0,0,0,0.04494382,0.011235955,0,0,0.02247191,0,0.157303371,0,0,0,0.011235955,0,0,0.011235955,0,0.011235955,0,0,0.02247191,0,0,0.02247191,0.04494382,0,0.011235955,0.011235955,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0.011235955,0,0,0,0,0,0.02247191,0,0.011235955,0,0,0,0,0,0,0,0,0.033707865,0,0,0,0,0,0,0.011235955,0,0,0,0,0.011235955,0,0.011235955,0,0,0,0,0.02247191,0,0,0.011235955,0,0.011235955,0,0,0,0.011235955,0,0,0,0,0,0.02247191,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0.011235955,0,0,0,0,0
